frame.time_epoch,frame.time_delta,frame.time_relative,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.stream,tcp.window_size,label
"1765999986.825697327","0.000008343","0.001675444","74","6","41482","80","0x0002","0","0","64240",0
"1765999986.826979484","0.001282157","0.002957601","74","6","80","41482","0x0012","0","0","5792",0
"1765999986.827214455","0.000234971","0.003192572","66","6","41482","80","0x0010","0","0","64256",0
"1765999986.828629836","0.001415381","0.004607953","138","6","41482","80","0x0018","72","0","64256",0
"1765999986.830126872","0.001497036","0.006104989","66","6","80","41482","0x0010","0","0","5888",0
"1765999987.013760363","0.183633491","0.189738480","663","6","80","41482","0x0018","597","0","5888",0
"1765999987.013760671","0.000000308","0.189738788","490","6","80","41482","0x0018","424","0","5888",0
"1765999987.013840397","0.000079726","0.189818514","66","6","41482","80","0x0010","0","0","63744",0
"1765999987.013954238","0.000113841","0.189932355","66","6","41482","80","0x0010","0","0","63360",0
"1765999987.014707698","0.000753460","0.190685815","139","6","80","41482","0x0018","73","0","5888",0
"1765999987.014715312","0.000007614","0.190693429","66","6","41482","80","0x0010","0","0","63360",0
"1765999987.019288952","0.004573640","0.195267069","71","6","80","41482","0x0018","5","0","5888",0
"1765999987.019322124","0.000033172","0.195300241","66","6","41482","80","0x0010","0","0","63360",0
"1765999987.020534842","0.001212718","0.196512959","66","6","41482","80","0x0011","0","0","63360",0
"1765999987.023104827","0.002569985","0.199082944","66","6","80","41482","0x0011","0","0","5888",0
"1765999987.023128293","0.000023466","0.199106410","66","6","41482","80","0x0010","0","0","63360",0
"1766000003.531002295","16.507874002","16.706980412","74","6","47212","80","0x0002","0","1","64240",0
"1766000003.532365762","0.001363467","16.708343879","74","6","80","47212","0x0012","0","1","5792",0
"1766000003.532387801","0.000022039","16.708365918","66","6","47212","80","0x0010","0","1","64256",0
"1766000003.535091086","0.002703285","16.711069203","148","6","47212","80","0x0018","82","1","64256",0
"1766000003.537511327","0.002420241","16.713489444","66","6","80","47212","0x0010","0","1","5888",0
"1766000003.539794637","0.002283310","16.715772754","519","6","80","47212","0x0018","453","1","5888",0
"1766000003.539822085","0.000027448","16.715800202","66","6","47212","80","0x0010","0","1","64128",0
"1766000003.541711441","0.001889356","16.717689558","66","6","47212","80","0x0011","0","1","64128",0
"1766000003.543666614","0.001955173","16.719644731","66","6","80","47212","0x0011","0","1","5888",0
"1766000003.543689027","0.000022413","16.719667144","66","6","47212","80","0x0010","0","1","64128",0
"1766000011.759830132","8.216141105","24.935808249","74","6","44118","21","0x0002","0","2","65535",0
"1766000011.761552518","0.001722386","24.937530635","74","6","21","44118","0x0012","0","2","5792",0
"1766000011.761777577","0.000225059","24.937755694","66","6","44118","21","0x0010","0","2","129940",0
"1766000011.778868238","0.017090661","24.954846355","86","6","21","44118","0x0018","20","2","5888",0
