iter	Passed	Remaining
0	8	4375
1	15	3877
2	22	3762
3	29	3716
4	35	3560
5	42	3487
6	46	3290
7	50	3085
8	54	2969
9	56	2777
10	60	2676
11	63	2597
12	68	2558
13	71	2493
14	75	2442
15	79	2402
16	83	2383
17	87	2345
18	90	2298
19	96	2307
20	99	2270
21	102	2232
22	106	2206
23	110	2193
24	114	2173
25	118	2153
26	120	2119
27	125	2113
28	129	2102
29	133	2098
30	137	2085
31	141	2068
32	145	2056
33	149	2051
34	153	2040
35	158	2043
36	160	2011
37	164	2005
38	168	1990
39	174	2003
40	178	1992
41	181	1978
42	185	1968
43	190	1970
44	192	1946
45	195	1934
46	200	1935
47	204	1924
48	207	1910
49	209	1882
50	211	1861
51	214	1846
52	217	1837
53	221	1826
54	224	1815
55	227	1806
56	231	1798
57	235	1792
58	238	1785
59	243	1785
60	247	1779
61	251	1773
62	255	1771
63	257	1752
64	259	1733
65	262	1727
66	266	1724
67	269	1710
68	272	1704
69	276	1697
70	280	1696
71	284	1694
72	287	1684
73	289	1666
74	292	1659
75	296	1655
76	298	1638
77	301	1630
78	304	1623
79	308	1618
80	311	1613
81	315	1606
82	318	1599
83	320	1588
84	321	1571
85	322	1554
86	326	1552
87	330	1548
88	334	1545
89	338	1542
90	341	1536
91	344	1529
92	346	1516
93	348	1507
94	352	1502
95	356	1499
96	361	1499
97	363	1490
98	367	1489
99	371	1487
100	374	1479
101	378	1477
102	382	1475
103	387	1474
104	389	1466
105	394	1464
106	398	1463
107	401	1458
108	406	1457
109	410	1454
110	414	1453
111	418	1449
112	420	1439
113	424	1436
114	428	1435
115	432	1433
116	436	1430
117	441	1429
118	444	1423
119	449	1421
120	450	1412
121	455	1411
122	460	1410
123	464	1407
124	467	1402
125	471	1399
126	473	1389
127	477	1388
128	485	1395
129	489	1393
130	494	1392
131	498	1390
132	503	1388
133	505	1379
134	509	1377
135	512	1371
136	513	1360
137	518	1359
138	522	1356
139	526	1354
140	531	1352
141	536	1352
142	540	1350
143	545	1348
144	549	1345
145	553	1342
146	558	1341
147	563	1339
148	565	1331
149	568	1327
150	573	1324
151	577	1322
152	581	1319
153	584	1314
154	588	1309
155	592	1307
156	595	1301
157	599	1298
158	603	1293
159	606	1289
160	608	1280
161	612	1277
162	615	1273
163	619	1268
164	623	1266
165	627	1263
166	631	1258
167	634	1254
168	639	1252
169	641	1244
170	644	1239
171	647	1235
172	651	1232
173	656	1229
174	658	1222
175	662	1219
176	666	1215
177	669	1211
178	672	1206
179	676	1202
180	680	1199
181	684	1195
182	685	1187
183	688	1181
184	692	1178
185	695	1174
186	699	1170
187	702	1165
188	706	1162
189	709	1158
190	713	1153
191	717	1150
192	720	1146
193	724	1142
194	728	1139
195	733	1137
196	736	1132
197	739	1128
198	743	1124
199	747	1121
200	751	1117
201	754	1113
202	758	1110
203	762	1106
204	766	1102
205	769	1097
206	773	1094
207	776	1090
208	779	1085
209	783	1081
210	787	1078
211	791	1074
212	794	1071
213	798	1067
214	802	1063
215	805	1059
216	809	1055
217	813	1051
218	816	1048
219	820	1044
220	824	1040
221	828	1037
222	831	1033
223	835	1029
224	839	1025
225	843	1022
226	846	1018
227	850	1014
228	854	1010
229	857	1006
230	860	1002
231	864	998
232	867	994
233	871	990
234	874	986
235	878	982
236	882	978
237	886	975
238	889	971
239	893	968
240	897	964
241	901	960
242	904	956
243	908	953
244	912	950
245	916	946
246	920	942
247	923	938
248	927	934
249	930	930
250	934	927
251	938	923
252	941	919
253	944	915
254	948	911
255	952	907
256	955	903
257	958	899
258	962	895
259	966	892
260	969	888
261	973	884
262	977	880
263	980	876
264	984	873
265	988	869
266	992	865
267	995	862
268	999	857
269	1002	854
270	1006	850
271	1010	846
272	1013	842
273	1017	839
274	1023	837
275	1028	834
276	1032	831
277	1036	827
278	1039	823
279	1043	819
280	1046	815
281	1050	811
282	1055	809
283	1059	805
284	1063	802
285	1067	798
286	1071	795
287	1075	791
288	1079	787
289	1083	784
290	1087	781
291	1091	777
292	1095	773
293	1099	770
294	1103	766
295	1107	763
296	1111	759
297	1115	756
298	1119	752
299	1124	749
300	1128	746
301	1133	742
302	1137	739
303	1141	735
304	1145	732
305	1149	728
306	1153	724
307	1156	721
308	1161	717
309	1165	714
310	1169	711
311	1174	707
312	1178	704
313	1182	700
314	1186	696
315	1190	693
316	1194	689
317	1198	685
318	1202	682
319	1205	678
320	1209	674
321	1212	670
322	1216	666
323	1221	663
324	1225	659
325	1229	655
326	1232	652
327	1235	648
328	1240	644
329	1244	641
330	1248	637
331	1252	633
332	1257	630
333	1261	626
334	1265	623
335	1270	619
336	1273	615
337	1276	611
338	1280	607
339	1284	604
340	1287	600
341	1291	596
342	1294	592
343	1298	589
344	1302	585
345	1305	581
346	1309	577
347	1313	573
348	1318	570
349	1322	566
350	1326	562
351	1329	559
352	1333	555
353	1337	551
354	1340	547
355	1344	543
356	1348	540
357	1352	536
358	1356	532
359	1359	528
360	1363	524
361	1366	521
362	1370	517
363	1374	513
364	1379	510
365	1383	506
366	1387	502
367	1391	499
368	1395	495
369	1399	491
370	1404	488
371	1408	484
372	1411	480
373	1416	477
374	1421	473
375	1425	470
376	1428	466
377	1433	462
378	1437	458
379	1441	455
380	1445	451
381	1449	447
382	1453	443
383	1457	440
384	1460	436
385	1465	432
386	1469	429
387	1473	425
388	1477	421
389	1482	418
390	1486	414
391	1490	410
392	1494	406
393	1498	403
394	1502	399
395	1507	395
396	1511	392
397	1515	388
398	1519	384
399	1523	380
400	1528	377
401	1532	373
402	1536	369
403	1541	366
404	1545	362
405	1550	358
406	1555	355
407	1559	351
408	1565	348
409	1570	344
410	1574	341
411	1579	337
412	1583	333
413	1587	329
414	1591	326
415	1595	322
416	1600	318
417	1604	314
418	1608	311
419	1612	307
420	1616	303
421	1620	299
422	1625	295
423	1629	292
424	1634	288
425	1638	284
426	1642	280
427	1648	277
428	1652	273
429	1655	269
430	1659	265
431	1663	261
432	1666	257
433	1670	253
434	1674	250
435	1678	246
436	1682	242
437	1686	238
438	1689	234
439	1694	231
440	1698	227
441	1702	223
442	1705	219
443	1709	215
444	1713	211
445	1717	207
446	1720	204
447	1724	200
448	1728	196
449	1732	192
450	1736	188
451	1740	184
452	1744	180
453	1747	177
454	1752	173
455	1756	169
456	1760	165
457	1764	161
458	1768	157
459	1771	154
460	1775	150
461	1779	146
462	1783	142
463	1786	138
464	1789	134
465	1793	130
466	1797	127
467	1800	123
468	1804	119
469	1809	115
470	1813	111
471	1817	107
472	1821	103
473	1824	100
474	1828	96
475	1831	92
476	1835	88
477	1839	84
478	1842	80
479	1851	77
480	1858	73
481	1865	69
482	1870	65
483	1874	61
484	1880	58
485	1885	54
486	1890	50
487	1894	46
488	1898	42
489	1903	38
490	1906	34
491	1909	31
492	1913	27
493	1917	23
494	1922	19
495	1926	15
496	1931	11
497	1935	7
498	1938	3
499	1941	0
